en,kor,cc
I'll follow your advice.,네 조언을 따를게.,CC-BY 2.0 (France) Attribution: tatoeba.org #2645499 (CK) & #8361462 (Eunhee)
We need to leave now.,지금 떠나야 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #8105313 (CK) & #11106730 (intertime)
We're inside.,우린 안에 있어요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2123503 (CK) & #4952515 (rainbow4us)
It made me very angry.,날 너무 화나게 만들었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3417634 (CK) & #8394154 (Eunhee)
It's pretty cold.,너무 춥다.,CC-BY 2.0 (France) Attribution: tatoeba.org #63615 (CK) & #11105513 (intertime)
Everyone prayed.,모두들 기도했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111870 (CK) & #8368365 (Eunhee)
She is always at the bottom of the class.,걔는 항상 반에서 꼴찌야.,CC-BY 2.0 (France) Attribution: tatoeba.org #310387 (darinmex) & #4963092 (rainbow4us)
Tom fixed everything.,톰은 무엇이든 고쳤다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3733783 (CK) & #11106789 (intertime)
My sister has a sweet tooth.,내 여동생은 단 것을 좋아한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #250961 (CK) & #11105171 (intertime)
Mr. Jackson is our science teacher.,잭슨씨는 우리의 과학 선생님이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #4529407 (CK) & #8363691 (Eunhee)
I think everyone did really well.,다들 정말 잘 한 것 같아.,CC-BY 2.0 (France) Attribution: tatoeba.org #8529544 (CK) & #8533821 (Eunhee)
Have you finished your homework?,숙제 다 끝냈니?,CC-BY 2.0 (France) Attribution: tatoeba.org #31331 (CK) & #1587188 (JanAson)
Mary is Tom's mother-in-law.,메리는 톰의 장모이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1030065 (CK) & #11105581 (intertime)
I shouldn't have stayed away so long.,내가 그렇게 오랫동안에 멀리 있지 않았어야 했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2406510 (CK) & #3677014 (JangSungHyuk)
What happened to all those people?,저기 단체로 무슨 일이야?,CC-BY 2.0 (France) Attribution: tatoeba.org #3131476 (CK) & #8360532 (Eunhee)
Tom is wearing a yellow shirt.,톰은 노란 셔츠를 입고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8351443 (CK) & #8367102 (Eunhee)
I have three daughters.,나는 딸이 셋 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4499834 (CK) & #11105878 (intertime)
Forget Tom.,톰은 잊어버려.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111835 (CK) & #8368354 (Eunhee)
Monkeys are intelligent.,원숭이는 똑똑하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3666546 (MTC) & #11597133 (cherryband)
Tom didn't do the dishes.,톰은 설거지를 하지 않았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4084378 (CK) & #11105409 (intertime)
This could hurt our business.,이것은 우리 사업을 다치게 할 수도 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4665494 (CK) & #5526766 (raining211)
There are things that can't be left to chance.,운에 맡길 수 없는 것들이 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7965143 (CK) & #7965168 (EstasKorea)
Keep talking.,계속 말해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111635 (CK) & #8368321 (Eunhee)
Life is never easy.,사는게 쉽지가 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #3737548 (CK) & #4748036 (kimhkng)
Tom grumbled.,톰이 궁시렁거렸어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111167 (CK) & #8368271 (Eunhee)
Keep still.,계속 조용히 하고 있어봐.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111636 (CK) & #8368331 (Eunhee)
"You know that that's not possible, don't you?",그게 불가능하단 건 알고 있지?,CC-BY 2.0 (France) Attribution: tatoeba.org #7240139 (CK) & #8366683 (Eunhee)
Tom roasted the marshmallow over the fire.,톰은 마시멜로를 불에 구웠다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6946928 (Hybrid) & #8472796 (Eunhee)
Tom used soap and water to wash his hands.,톰은 손을 씻으려고 비누랑 물을 썼다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2538316 (CK) & #10788983 (svawbodah)
This book is way more interesting than that one.,이 책이 저거보다 훨씬 흥미롭다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1176961 (mookeee) & #7999544 (ciwlx)
I knew Tom would lose.,톰이 질 거라는 것을 난 알고 있었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #4666931 (CK) & #8358090 (Eunhee)
I live very close to the subway station.,난 지하철 역에서 아주 가까운 곳에 살아.,CC-BY 2.0 (France) Attribution: tatoeba.org #3549617 (CK) & #8369729 (Eunhee)
I feel the same way.,동감이에요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2952060 (CK) & #1587220 (JanAson)
You're the last hope for humanity.,넌 인류의 마지막 희망이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #1657703 (Spamster) & #8361859 (Eunhee)
"If you were to win the lottery, what would you buy with the money?",로또에 당첨되면 그 돈으로 무엇을 사실 건가요?,CC-BY 2.0 (France) Attribution: tatoeba.org #25322 (CK) & #11105550 (intertime)
It is a matter of life or death.,생사가 달린 문제이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #42063 (jakov) & #11106320 (intertime)
Wash up.,설거지 해.,CC-BY 2.0 (France) Attribution: tatoeba.org #20763 (CK) & #8363276 (Eunhee)
Tom is definitely not going to be there.,톰은 확실히 거기에 가 있지 않을 거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #3635925 (CK) & #8367668 (Eunhee)
Is it true that you're a high school teacher?,네가 고등학교 선생님이라는 게 사실이야?,CC-BY 2.0 (France) Attribution: tatoeba.org #8186066 (CK) & #8367252 (Eunhee)
"Sorry, I don't get your point.","미안한데, 무슨 말을 하는지 못 알아듣겠어.",CC-BY 2.0 (France) Attribution: tatoeba.org #7123131 (CM) & #8361970 (Eunhee)
Do you want to know where you made your mistake?,네가 어디서 실수 했는지 알고싶어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2032002 (CK) & #8358173 (Eunhee)
It is foggy.,안개가 꼈다.,CC-BY 2.0 (France) Attribution: tatoeba.org #456111 (lukaszpp) & #11105399 (intertime)
Her uncle is a famous doctor.,그녀의 삼촌은 유명한 의사입니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #308970 (CK) & #7965068 (EstasKorea)
He disliked school.,그는 학교를 싫어했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #886214 (CM) & #11105766 (intertime)
How are you feeling?,너는 어떤 기분이니?,CC-BY 2.0 (France) Attribution: tatoeba.org #1839466 (CK) & #8370326 (baehyunsol)
What did Tom give you for your birthday?,톰이 너한테 생일 선물로 뭘 줬어?,CC-BY 2.0 (France) Attribution: tatoeba.org #4016933 (CK) & #8361908 (Eunhee)
Tom wasn't the star.,톰은 스타가 아니었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4494806 (CK) & #11107559 (intertime)
Tom saved my life.,톰이 내 목숨을 구했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2984465 (Hybrid) & #11105682 (intertime)
I assure you that isn't necessary.,저건 필요 없다니까.,CC-BY 2.0 (France) Attribution: tatoeba.org #2293453 (CK) & #8361889 (Eunhee)
What language do they speak in your country?,네 나라에서는 무슨 언어로 말해?,CC-BY 2.0 (France) Attribution: tatoeba.org #460335 (jeanne) & #8365133 (Eunhee)
I am really sorry.,정말 미안해.,CC-BY 2.0 (France) Attribution: tatoeba.org #436425 (lukaszpp) & #4708225 (rainbow4us)
"Which are heavier, sandwiches or onigiris?",샌드위치랑 주먹밥 중에 어느 것이 더 부담스러워?,CC-BY 2.0 (France) Attribution: tatoeba.org #53930 (CM) & #8361293 (Eunhee)
Do you have a cellphone?,핸드폰을 가지고 계신가요?,CC-BY 2.0 (France) Attribution: tatoeba.org #535419 (CM) & #8355548 (Eunhee)
Is that a bird?,저것은 새입니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #4747435 (AlanF_US) & #11105734 (intertime)
My dog died.,내 개는 죽었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7733949 (CK) & #8367685 (Eunhee)
I don't know who to trust.,나는 누구를 믿어야 할 지 모른다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2361298 (CK) & #11115072 (intertime)
The future looks promising.,미래가 유망해 보인다.,CC-BY 2.0 (France) Attribution: tatoeba.org #4500758 (CK) & #10585547 (ssuss32)
I don't like your friends.,나는 네 친구를 좋아하지 않는다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1970155 (CK) & #11105591 (intertime)
Tom got very happy.,톰은 아주 행복해졌어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6663563 (CK) & #8367680 (Eunhee)
I've been dying to see Tom.,난 톰이 너무 보고 싶어 죽겠어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3330026 (CK) & #8361925 (Eunhee)
Coconuts have a hard shell.,코코넛은 껍질이 단단해.,CC-BY 2.0 (France) Attribution: tatoeba.org #8533304 (sundown) & #8533890 (Eunhee)
I go to Boston three or four times a year.,나는 일년에 서너번 보스톤에 간다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6240649 (CK) & #9689554 (ST_Young)
Tom is short for his age.,톰은 나이에 비해 작아.,CC-BY 2.0 (France) Attribution: tatoeba.org #3921122 (CK) & #8386623 (Eunhee)
Tom dropped his knife.,톰은 나이프를 떨어뜨렸다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2646432 (CK) & #8358604 (Eunhee)
I'm in jail.,나는 감옥에 갇혔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2248036 (CK) & #11105122 (intertime)
Tom laughed.,톰이 웃었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111159 (CK) & #8363381 (Eunhee)
Are you still single?,너 아직 솔로야?,CC-BY 2.0 (France) Attribution: tatoeba.org #5852727 (CK) & #11110808 (intertime)
Tom volunteered.,톰이 자원했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111152 (CK) & #8363423 (Eunhee)
A blood vessel burst inside his brain.,그 사람의 뇌 안에 혈관이 터졌어.,CC-BY 2.0 (France) Attribution: tatoeba.org #807311 (Source_VOA) & #8365733 (Eunhee)
"Sorry, but you can't go in there.","미안한데, 거기 들어가면 안 돼.",CC-BY 2.0 (France) Attribution: tatoeba.org #4012800 (CK) & #8361963 (Eunhee)
The radio is broken.,라디오가 망가졌다.,CC-BY 2.0 (France) Attribution: tatoeba.org #374597 (CK) & #10603204 (ssuss32)
How fascinating!,이렇게나 매력적이라니!,CC-BY 2.0 (France) Attribution: tatoeba.org #1060030 (Trailsend) & #8368183 (Eunhee)
You will know soon enough.,곧 충분히 알게 될거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #1581964 (Spamster) & #1587223 (JanAson)
I'm just happy to see you.,널 만나서 그저 기쁘다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2044611 (CK) & #11106655 (intertime)
I have an urgent message for Tom.,나는 톰에게 전할 긴급한 메시지가 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2359003 (CK) & #11107544 (intertime)
I attended his funeral.,나는 장례식에 참석했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #260708 (CK) & #6305232 (Queserasera)
I'm dead serious.,난 절대 농담하는게 아냐.,CC-BY 2.0 (France) Attribution: tatoeba.org #2247956 (CK) & #3674982 (Eunhee)
Unemployment is a major problem.,실업은 주요한 문제야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8352117 (CK) & #8367075 (Eunhee)
Promise me you won't do anything stupid.,바보같은 짓은 하지 않겠다고 나한테 약속해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2206506 (Hybrid) & #8363249 (Eunhee)
Tom hopes that Mary won't get deported.,톰은 메리가 추방되지 않길 바란다.,CC-BY 2.0 (France) Attribution: tatoeba.org #10159104 (CK) & #11107483 (intertime)
I believe that the answer is straightforward.,대답이 직접적인 것 같아.,CC-BY 2.0 (France) Attribution: tatoeba.org #8530702 (CK) & #8533685 (Eunhee)
My sister asked my father to buy her a new bicycle.,내 여동생은 아버지에게 새 자전거를 사 달라고 부탁했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #11104916 (CK) & #11107576 (intertime)
"Hello, girls.",안녕 아가씨들.,CC-BY 2.0 (France) Attribution: tatoeba.org #1641754 (Amastan) & #11104736 (intertime)
Are you in there?,너 거기 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886335 (CK) & #8361438 (Eunhee)
Where the treasure is hidden is still a mystery.,보물이 어디 묻혀 있는지는 아직도 미스터리다.,CC-BY 2.0 (France) Attribution: tatoeba.org #320981 (CM) & #11110654 (intertime)
Tom kissed Mary gently on the lips.,톰은 메리의 입술을 부드럽게 키스했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3953974 (KoreanBeaver) & #3680979 (intertime)
Who really called?,진짜로 누가 부른거야?,CC-BY 2.0 (France) Attribution: tatoeba.org #9304425 (CK) & #11107474 (intertime)
That's not it.,아니야!,CC-BY 2.0 (France) Attribution: tatoeba.org #6884364 (tripbeetle) & #8398478 (Eunhee)
Tom wanted to learn how to tango.,톰은 탱고 추는 방법을 배우고 싶었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #10607021 (CK) & #10607024 (ssuss32)
Let's move the bed.,침대를 옮기자.,CC-BY 2.0 (France) Attribution: tatoeba.org #2007780 (CK) & #8368438 (Eunhee)
Tom thinks that I'm romantic.,톰은 내가 로맨틱하다고 생각해.,CC-BY 2.0 (France) Attribution: tatoeba.org #7176080 (CK) & #8362161 (Eunhee)
I think the mistake is mine.,이건 내탓인 것 같아.,CC-BY 2.0 (France) Attribution: tatoeba.org #2408182 (CK) & #8355854 (Eunhee)
Tom enlisted.,톰이 입대했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111183 (CK) & #8368289 (Eunhee)
Tom hates going to school.,톰은 학교에 가기 싫다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1109121 (CK) & #11106417 (intertime)
I feel bad.,기분이 별로야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245737 (CK) & #11105717 (intertime)
She carried out the plan.,그는 계획을 실행했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #311188 (CK) & #8425084 (Eunhee)
I love walking along the river.,나는 강변 산책이 좋다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1083979 (CM) & #11107552 (intertime)
"Tom began to sing ""Happy Birthday.""","Tom이 ""Happy Birthday"" 노래를 부르기 시작했다.",CC-BY 2.0 (France) Attribution: tatoeba.org #5986876 (Hybrid) & #5989197 (mistake101)
"Unbelievable, isn't it?",못 믿겠지?,CC-BY 2.0 (France) Attribution: tatoeba.org #8213328 (HoubkneghteS) & #8362480 (Eunhee)
The teacher scolded his students severely.,선생님은 학생들을 심하게 꾸짖었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #45796 (CK) & #8026869 (yesjustryan)
Stop grumbling.,그만 투덜거려.,CC-BY 2.0 (France) Attribution: tatoeba.org #18356 (CK) & #8355935 (Eunhee)
Are you sleeping?,자고 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2244966 (CK) & #4710363 (rainbow4us)
I'm very sorry.,정말 죄송합니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #275979 (CK) & #4708226 (rainbow4us)
Tom lied to us.,톰이 우리에게 거짓말을 했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2549610 (CK) & #11105394 (intertime)
I'll pay.,제가 내겠습니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #411285 (CK) & #11106268 (intertime)
Something's wrong here.,여기 뭔가가 잘못됐다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1799603 (Spamster) & #11104902 (intertime)
He takes a bath every morning.,그는 매일 아침 목욕을 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1200147 (CK) & #11105919 (intertime)
It works.,동작하네.,CC-BY 2.0 (France) Attribution: tatoeba.org #1365269 (sacredceltic) & #8368191 (Eunhee)
Why are you following us?,우릴 왜 따라오는 거야?,CC-BY 2.0 (France) Attribution: tatoeba.org #5506966 (CK) & #11110802 (intertime)
The beach is empty.,해변이 텅 비었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3442105 (Hybrid) & #11106369 (intertime)
Tom hates me.,톰은 나를 싫어한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1868258 (CK) & #11106727 (intertime)
Tom doesn't want to spend the rest of his life in prison.,톰은 남은 인생을 감옥에서 보내고 싶어하지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #3735019 (CK) & #4748413 (kimhkng)
What language do you speak at home?,집에서 무슨 언어로 말해?,CC-BY 2.0 (France) Attribution: tatoeba.org #4806945 (CK) & #8365132 (Eunhee)
"Sputnik was launched on October 4, 1957.",스푸트니크는 1957년 10월 4일에 발사되었다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1894267 (Spamster) & #11106358 (intertime)
She warmed herself by the fire.,그녀는 불로 몸을 덥혔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #312900 (CK) & #11105444 (intertime)
Where's the vodka?,보드카 어디 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #7810416 (CK) & #11105917 (intertime)
You idiot!,이 바보야!,CC-BY 2.0 (France) Attribution: tatoeba.org #418475 (Scott) & #8363308 (Eunhee)
All people are born equal.,모든 사람은 평등하게 태어났어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8275481 (shekitten) & #8365147 (Eunhee)
Tom and Mary have children.,톰과 메리에게는 자식이 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8509270 (CK) & #8509279 (Eunhee)
Get serious.,진지하게 해.,CC-BY 2.0 (France) Attribution: tatoeba.org #268457 (CK) & #8363287 (Eunhee)
He can speak five languages.,그 사람은 다섯 개 국어를 할 줄 알아.,CC-BY 2.0 (France) Attribution: tatoeba.org #460267 (jeanne) & #8365134 (Eunhee)
"Can you pay attention, please?",제발 집중 좀 해 줄래?,CC-BY 2.0 (France) Attribution: tatoeba.org #3185865 (CK) & #10788998 (svawbodah)
I know it's very difficult to understand why Tom did what he did.,톰이 왜 그런 짓을 했는지 이해하기 너무 어렵다는 것을 안다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2376082 (CK) & #11110725 (intertime)
I'm addicted.,난 중독자야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2030115 (Spamster) & #8361831 (Eunhee)
The news spread all over Japan.,그 뉴스는 일본 전역으로 퍼져나갔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #50099 (CK) & #11106777 (intertime)
Why should we hire you?,왜 우리가 당신을 고용해야 하는 거죠?,CC-BY 2.0 (France) Attribution: tatoeba.org #6032258 (Hybrid) & #8533581 (Eunhee)
I'm sorry I opened my mouth.,내가 입을 열어서 미안해.,CC-BY 2.0 (France) Attribution: tatoeba.org #5244072 (CK) & #8361967 (Eunhee)
I wonder if Tom has already left.,Tom이 이미 떠난 건지 궁금해요.,CC-BY 2.0 (France) Attribution: tatoeba.org #6337045 (CK) & #10728083 (younglitto)
I help him.,나는 그를 돕고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #260935 (CK) & #11105504 (intertime)
When will you get home?,집에 언제 도착할 겁니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #2006365 (AlanF_US) & #10760067 (HappyMidnight)
You called?,불렀니?,CC-BY 2.0 (France) Attribution: tatoeba.org #64527 (CK) & #8368147 (Eunhee)
You're mine.,당신은 나의 것입니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2217883 (CK) & #4948581 (rainbow4us)
Are you crying?,우는 거야?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886352 (CK) & #11106333 (intertime)
No one laughed.,아무도 웃지 않았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2091093 (CK) & #11106277 (intertime)
I thought Tom and Mary were going to use me as a hostage.,난 톰과 메리가 나를 인질로 잡을 줄 알았지.,CC-BY 2.0 (France) Attribution: tatoeba.org #1961450 (CK) & #8360538 (Eunhee)
Tom grew up in the suburbs.,Tom은 교외에서 자랐다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5986870 (Hybrid) & #5989199 (mistake101)
There you are.,거기 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #50990 (CK) & #11106073 (intertime)
I didn't know Tom was a child psychologist.,톰이 아동 심리학자였다는 것을 난 몰랐어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7513432 (CK) & #8363513 (Eunhee)
I'm having a hard time concentrating.,난 집중하려고 애쓰고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1096431 (CK) & #8421402 (Eunhee)
This is your wine.,이것은 네 와인이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #1764492 (CK) & #11106936 (intertime)
Tom is going to check it out.,톰이 확인하러 갈 거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #3413013 (CK) & #8366849 (Eunhee)
I have a big family.,우리 가족은 대가족이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2575791 (svhschinese) & #11105184 (intertime)
She has a cat. The cat is white.,그 사람은 고양이를 키워. 그 고양이는 흰색 고양이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #316114 (CK) & #8364941 (Eunhee)
Something doesn't make any sense.,이해되지 않는 부분이 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2276704 (CK) & #3680989 (ssuss32)
My house is near the beach.,우리 집은 해안가에 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #8336492 (CK) & #11107526 (intertime)
Hope of finding the child alive is fading rapidly.,아이를 살아 있는 채로 찾을 희망이 빠르게 사라지고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #47545 (CM) & #3677073 (ssuss32)
I was happy to help you.,널 도울 수 있어서 기뻤어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1140135 (CK) & #8366712 (Eunhee)
What do you think about this outfit?,이 겉옷 어떻게 생각해요?,CC-BY 2.0 (France) Attribution: tatoeba.org #4368168 (Hybrid) & #11104571 (intertime)
What is that?,저것은 무엇입니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #464592 (lukaszpp) & #3649463 (Queserasera)
Tom didn't know who was going to be there.,톰은 누가 거기에 있을 건지 몰랐어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6125439 (CK) & #8367654 (Eunhee)
Why do you know so much about Boston?,당신은 보스턴에 대해 어떻게 그렇게 잘 아세요?,CC-BY 2.0 (France) Attribution: tatoeba.org #5848372 (CK) & #11107472 (intertime)
The police are looking for you.,경찰이 너를 찾고 있다,CC-BY 2.0 (France) Attribution: tatoeba.org #3917535 (CK) & #9803426 (ST_Young)
Beat it.,저리 가.,CC-BY 2.0 (France) Attribution: tatoeba.org #37902 (CM) & #8355959 (Eunhee)
"If it is worth doing at all, it is worth doing well.","할 가치가 있는 일이면, 제대로 하십시오.",CC-BY 2.0 (France) Attribution: tatoeba.org #65847 (CK) & #6305191 (Queserasera)
Let's go to the hospital.,병원에 가자.,CC-BY 2.0 (France) Attribution: tatoeba.org #2007551 (CK) & #11106131 (intertime)
"I thought you might be lonely, so I came over with a bottle of wine.",니가 좀 외로울 것 같아서 내가 와인 한 병을 들고 왔지.,CC-BY 2.0 (France) Attribution: tatoeba.org #1961627 (CK) & #4749577 (kimhkng)
"I'm sorry, I can't help you.","미안한데, 내가 도와줄 수가 없어.",CC-BY 2.0 (France) Attribution: tatoeba.org #68790 (CK) & #8361969 (Eunhee)
Stop biting your nails.,손톱 그만 물어 뜯어라.,CC-BY 2.0 (France) Attribution: tatoeba.org #501792 (darinmex) & #11105509 (intertime)
Tom doesn't know what he's supposed to do.,톰은 그가 뭘 해야 할지 모른다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1026089 (CK) & #6845337 (dalgarak)
I'm not able to fix the computer.,난 컴퓨터를 고치는 것은 불가능해.,CC-BY 2.0 (France) Attribution: tatoeba.org #680042 (Source_VOA) & #8363705 (Eunhee)
What's your cat's name?,네 고양이의 이름은 뭐야?,CC-BY 2.0 (France) Attribution: tatoeba.org #3130087 (Hybrid) & #8364961 (Eunhee)
I study English half an hour every day.,나는 영어를 매일 30분씩 공부한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #261834 (CK) & #11104823 (intertime)
This problem is worth discussing.,이 문제는 논의해볼 만하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #56680 (CK) & #11105887 (intertime)
She lives with him in a small apartment.,그녀는 작은 아파트에서 그와 함께 살고 있어요.,CC-BY 2.0 (France) Attribution: tatoeba.org #887275 (CK) & #4963569 (rainbow4us)
They left.,그들이 떠났어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111368 (CK) & #8368306 (Eunhee)
Tom can't hold down a job. He's always getting fired.,톰은 직업을 유지할 수 없어. 걔는 항상 해고돼.,CC-BY 2.0 (France) Attribution: tatoeba.org #1951871 (CK) & #8421387 (Eunhee)
Please speak slower.,천천히 말해줘.,CC-BY 2.0 (France) Attribution: tatoeba.org #4133570 (CK) & #8365129 (Eunhee)
I know I might not have to do that today.,그것을 오늘 안해도 될것같다는 걸 알아,CC-BY 2.0 (France) Attribution: tatoeba.org #7522374 (CK) & #9803420 (ST_Young)
Have you ever been to this beach before?,이 해변에 와본 적 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #8462511 (CK) & #8462518 (Eunhee)
I can assure you we'll never make that mistake again.,"단언컨대, 우린 그런 실수를 두 번 다시 하지 않을 거야.",CC-BY 2.0 (France) Attribution: tatoeba.org #2300571 (CK) & #8361894 (Eunhee)
Tom said Mary was overweight.,톰은 메리가 과다체중이라고 했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6273720 (CK) & #6820059 (yesjustryan)
Tom wants to avoid everything.,톰은 모든 걸 회피하고 싶어해.,CC-BY 2.0 (France) Attribution: tatoeba.org #680312 (Source_VOA) & #8437687 (Eunhee)
She's by far the tallest girl.,이제까지 그녀가 가장 키가 큰 여자다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1442396 (CK) & #3677067 (ssuss32)
Stop it.,그만해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #6305159 (Queserasera)
My grandfather died five years ago.,우리 할아버지는 5년 전에 돌아가셨다.,CC-BY 2.0 (France) Attribution: tatoeba.org #273855 (CK) & #11105506 (intertime)
Tom has quite a lot of money.,톰은 돈을 꽤 많이 갖고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1025314 (CK) & #8361518 (Eunhee)
Learning a musical instrument trains the mind.,악기를 배우는 건 정신을 훈련시킬 수 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1327841 (CM) & #8363855 (Eunhee)
Keep searching.,계속 찾아봐.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111639 (CK) & #8368328 (Eunhee)
The funeral was yesterday.,장례식은 어제였다.,CC-BY 2.0 (France) Attribution: tatoeba.org #681046 (Source_VOA) & #6305227 (Queserasera)
There are seven continents on the earth.,지구에는 여섯 개의 대륙이 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #271117 (CM) & #8365159 (Eunhee)
Do you know anybody who speaks French?,프랑스어 할 줄 아는 사람 아세요?,CC-BY 2.0 (France) Attribution: tatoeba.org #6223234 (CK) & #11110665 (intertime)
You'll never know.,너는 절대 모를 걸.,CC-BY 2.0 (France) Attribution: tatoeba.org #2255386 (CK) & #10730734 (HappyMidnight)
His dream came true.,그 사람의 꿈은 실현되었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #287574 (CK) & #8363641 (Eunhee)
